Data operacji;Data waluty;Typ transakcji;Kwota;Waluta;Lokalizacja
2018-04-12;2018-04-10;Płatność kartą;-6;PLN;Lokalizacja:     LODZIARNIE FIRMOWE SP
2018-04-12;2018-04-10;Płatność kartą;-10.99;PLN;Lokalizacja:     GO SPORT 233
2018-04-13;2018-04-11;Płatność kartą;-32.91;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-04-13;2018-04-11;Płatność kartą;-8.49;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-04-15;2018-04-14;Płatność kartą;-24.69;PLN;Lokalizacja:     AUCHAN Ursynow
2018-04-15;2018-04-13;Płatność kartą;-60.89;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-04-16;2018-04-15;Płatność kartą;-5;PLN;Lokalizacja:     Galeria N Cafe
2018-04-17;2018-04-16;Płatność kartą;-9;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-04-17;2018-04-15;Płatność kartą;-82.55;PLN;Lokalizacja:     Zapiecek Freta
2018-04-18;2018-04-16;Płatność kartą;-20.49;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-04-19;2018-04-18;Płatność kartą;-6;PLN;Lokalizacja:     MCDONALD'S 217 W-WA 28
2018-04-19;2018-04-17;Płatność kartą;-5.15;PLN;Lokalizacja:     Top Market
2018-04-19;2018-04-17;Płatność kartą;-17.01;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-04-20;2018-04-19;Płatność kartą;-13;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-04-20;2018-04-18;Płatność kartą;-16.5;PLN;Lokalizacja:     CINEMA CITY MOKOTOW
2018-04-21;2018-04-20;Płatność kartą;-16.9;PLN;Lokalizacja:  Belchow  McDonalds 429 MOP Parma
2018-04-21;2018-04-20;Płatność kartą;-8;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-04-21;2018-04-19;Płatność kartą;-0.99;PLN;Lokalizacja:     Sebastian Murawski
2018-04-22;2018-04-20;Płatność kartą;-20.9;PLN;Lokalizacja:  RUSOCIN  GTC SA AUTOSTRADA A1
2018-04-23;2018-04-22;Płatność kartą;-2.99;PLN;Lokalizacja:  Olsztynek  SHELL
2018-04-23;2018-04-21;Płatność kartą;-16.59;PLN;Lokalizacja:  Gdansk  SKLEP LEWIATAN
2018-04-24;2018-04-23;Płatność kartą;-18;PLN;Lokalizacja:  Nadarzyn  Pajda Catering
2018-04-25;2018-04-24;Płatność kartą;-7.5;PLN;Lokalizacja:     McDonalds 464  
2018-04-25;2018-04-24;Płatność kartą;-6;PLN;Lokalizacja:     Bar Mleczny Marymont
2018-04-25;2018-04-23;Płatność kartą;-36.73;PLN;Lokalizacja:     JMP S.A. BIEDRONKA 6127
2018-04-26;2018-04-25;Płatność kartą;-6.99;PLN;Lokalizacja:  Prosienica  ORLEN
2018-04-26;2018-04-25;Płatność kartą;-25.6;PLN;Lokalizacja:  SUWALKI  KAUFLAND
2018-04-26;2018-04-25;Płatność kartą;-14;PLN;Lokalizacja:  Suwalki  Sajgon Bar Azjatycki
